0,2601,0,0,0,0,0,0,0,1,FALSE
0,2602,-30,-50,2,7,0,0,0.785398163397448,7,FALSE
0,2603,-50,40,0,8,1.56173761888606,-1.24939009510885,4.71238898038469,6,FALSE
0,2604,50,75,-9,4,0,0,3.14159265358979,8,FALSE
0.5,2601,0,0,0,0,0,0,0,1,FALSE
0.5,2602,-29,-46.5,2,7,0,0,0.785398163397448,7,FALSE
0.5,2603,-50,44,0.78086880944303,7.37530495244558,1.56173761888606,-1.24939009510885,4.71238898038469,6,FALSE
0.5,2604,45.5,77,-9,4,0,0,3.14159265358979,8,FALSE
1,2601,0,0,0,0,0,0,0,1,FALSE
1,2602,-28,-43,2,7,0,0,0.785398163397448,7,FALSE
1,2603,-49.6095655952785,47.6876524762228,1.53158232636579,6.71467705755355,1.50142703384551,-1.32125578978405,4.71238898038469,6,FALSE
1,2604,41,79,-9,4,0,0,3.14159265358979,8,FALSE
1.5,2601,0,0,0,0,0,0,0,1,FALSE
1.5,2602,-27,-39.5,2,7,0,0,0.785398163397448,7,FALSE
1.5,2603,-48.8437744320956,51.0449910049996,2.25251596254636,6.02167295062239,1.44186727236115,-1.38600821386232,4.71238898038469,6,FALSE
1.5,2604,36.5,81,-9,4,0,0,3.14159265358979,8,FALSE
2,2601,0,0,0,0,0,0,0,1,FALSE
2,2602,-26,-36,2,7,0,0,0.785398163397448,7,FALSE
2,2603,-47.7175164508224,54.0558274803108,2.94387261292273,5.2991592954017,1.38271330075274,-1.44502731044139,4.71238898038469,6,FALSE
2,2604,32,83,-9,4,0,0,3.14159265358979,8,FALSE
2.5,2601,0,0,0,0,0,0,0,1,FALSE
2.5,2602,-25,-32.5,2,7,0,0,0.785398163397448,7,FALSE
2.5,2603,-46.245580144361,56.7054071280116,3.60565953350096,4.54946731081631,1.32357384115646,-1.49938396917078,4.71238898038469,6,FALSE
2.5,2604,27.5,85,-9,4,0,0,3.14159265358979,8,FALSE
3,2601,0,0,0,0,0,0,0,1,FALSE
3,2602,-24,-29,2,7,0,0,0.785398163397448,7,FALSE
3,2603,-44.4427503776106,58.9801407834198,4.23767060445927,3.77450795305222,1.26402214191662,-1.54991871552818,4.71238898038469,6,FALSE
3,2604,23,87,-9,4,0,0,3.14159265358979,8,FALSE
3.5,2601,0,0,0,0,0,0,0,1,FALSE
3.5,2602,-23,-25.5,2,7,0,0,0.785398163397448,7,FALSE
3.5,2603,-42.3239150753809,60.8673947599459,4.8394685822411,2.97585959868235,1.20359595556366,-1.59729670873974,4.71238898038469,6,FALSE
3.5,2604,18.5,89,-9,4,0,0,3.14159265358979,8,FALSE
4,2601,0,0,0,0,0,0,0,1,FALSE
4,2602,-22,-22,2,7,0,0,0.785398163397448,7,FALSE
4,2603,-39.9041807842604,62.355324559287,5.4103638016197,2.15483667056727,1.1417904387572,-1.64204585623016,4.71238898038469,6,FALSE
4,2604,14,91,-9,4,0,0,3.14159265358979,8,FALSE
4.5,2601,0,0,0,0,0,0,0,1,FALSE
4.5,2602,-21,-18.5,2,7,0,0,0.785398163397448,7,FALSE
4.5,2603,-37.1989988834505,63.4327428945707,5.94938657459124,1.31254547969675,1.07804554594307,-1.68458238174103,4.71238898038469,6,FALSE
4.5,2604,9.5,93,-9,4,0,0,3.14159265358979,8,FALSE
5,2601,0,0,0,0,0,0,0,1,FALSE
5,2602,-20,-15,2,7,0,0,0.785398163397448,7,FALSE
5,2603,-34.2243055961549,64.0890156344191,6.45525067021697,0.449932289004214,1.01172819125146,-1.72522638138508,4.71238898038469,6,FALSE
5,2604,5,95,-9,4,0,0,3.14159265358979,8,FALSE
5.5,2601,0,0,0,0,0,0,0,1,FALSE
5.5,2602,-19,-11.5,2,7,0,0,0.785398163397448,7,FALSE
5.5,2603,-30.9966802610464,64.3139817789212,6.92630494388148,-0.432171940246727,0.942108547329027,-1.76420845850188,4.71238898038469,6,FALSE
5.5,2604,0.5,97,-9,4,0,0,3.14159265358979,8,FALSE
6,2601,0,0,0,0,0,0,0,1,FALSE
6,2602,-18,-8,2,7,0,0,0.785398163397448,7,FALSE
6,2603,-27.5335277891057,64.0978958087978,7.36046948845867,-1.33300552545106,0.868329089154371,-1.80166717040866,4.71238898038469,6,FALSE
6,2604,-4,99,-9,4,0,0,3.14159265358979,8,FALSE
6.5,2601,0,0,0,0,0,0,0,1,FALSE
6.5,2602,-17,-4.5,2,7,0,0,0.785398163397448,7,FALSE
6.5,2603,-23.8532930448764,63.4313930460723,7.68268290424689,-2.23078089304903,0.789364243806861,-1.83763546183655,4.71238898038469,6,FALSE
6.5,2604,-8.5,101,-9,4,0,0,3.14159265358979,8,FALSE
7,2601,0,0,0,0,0,0,0,1,FALSE
7,2602,-16,-1,2,7,0,0,0.785398163397448,7,FALSE
7,2603,-20.0119515927529,62.3160025995478,7.44275679587184,-2.93349131198707,0.703967733813392,-1.872012133975,4.71238898038469,6,FALSE
7,2604,-13,103,-9,4,0,0,3.14159265358979,8,FALSE
7.5,2601,0,0,0,0,0,0,0,1,FALSE
7.5,2602,-15,2.5,2,7,0,0,0.785398163397448,7,FALSE
7.5,2603,-16.290573194817,60.8492569435542,7.15122487982005,-3.58608180584921,0.61151449075014,-1.90421900725799,4.71238898038469,6,FALSE
7.5,2604,-17.5,105,-9,4,0,0,3.14159265358979,8,FALSE
